,AirCOId,AirCOName,AirNO2Id,AirNO2Name,AirO3_1Id,AirO3_1Name,AirO3_8Id,AirO3_8Name,AirPM10Id,AirPM10Name,AirPM2_5Id,AirPM2_5Name,AirSO2Id,AirSO2Name,COIaqi,COvalue,KZJB,Level,MAXAQI,NO2Iaqi,NO2value,O3_1Iaqi,O3_1value,O3_8Iaqi,O3_8value,PM10Iaqi,PM10value,PM2_5Iaqi,PM2_5value,Proposal,SO2Iaqi,SO2value,SubID,c0003_stcode,c0003_stname,pName,streetown,time
77,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,6,508,街镇,,99,24,47,44,140,118,179,88,125,99,74,,4,10,15066,370103,市中区,舜耕街道办事处,舜耕街道办事处,/Date(1603706400000+0800)/
78,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,15,1437,街镇,,103,48,95,26,82,100,159,96,141,103,77,,6,17,15067,370103,市中区,七贤街道办事处,七贤街道办事处,/Date(1603706400000+0800)/
79,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,23,2223,街镇,,134,87,174,3,8,84,140,115,180,134,102,,8,23,15068,370103,市中区,白马山街道办事处,白马山街道办事处,/Date(1603706400000+0800)/
80,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,12,1154,街镇,,95,38,75,25,78,107,167,95,139,82,60,,5,14,15069,370103,市中区,兴隆街道办事处,兴隆街道办事处,/Date(1603706400000+0800)/
81,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,17,1678,街镇,,112,83,166,2,6,71,125,112,173,102,76,,6,16,15070,370103,市中区,党家街道办事处,党家街道办事处,/Date(1603706400000+0800)/
82,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,17,1602,街镇,,123,69,138,2,6,76,131,114,178,123,93,,4,12,15071,370103,市中区,陡沟街道办事处,陡沟街道办事处,/Date(1603706400000+0800)/
83,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,14,1393,街镇,,124,85,170,5,13,82,138,124,197,113,85,,6,16,15072,370104,槐荫区,振兴街街道办事处,振兴街街道办事处,/Date(1603706400000+0800)/
84,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,24,2328,街镇,,90,86,172,6,19,93,151,86,122,90,67,,4,12,15073,370104,槐荫区,五里沟街道办事处,五里沟街道办事处,/Date(1603706400000+0800)/
85,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,23,2280,街镇,,114,95,189,5,15,94,152,105,159,114,86,,5,13,15074,370104,槐荫区,青年公园街道办事处,青年公园街道办事处,/Date(1603706400000+0800)/
86,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,18,1725,街镇,,134,81,162,6,17,85,142,122,194,134,102,,5,14,15075,370104,槐荫区,中大槐树街道办事处,中大槐树街道办事处,/Date(1603706400000+0800)/
